Divisor (X-axis),Normalized Distance (Y-axis),Is_Local_Minima
180.0,167.02777777777754,False
179.5,167.37325905292477,False
179.0,167.72067039106136,False
178.5,168.0672268907565,False
178.0,168.41573033707863,False
177.5,168.76619718309843,False
177.0,169.1186440677968,False
176.5,169.47308781869623,False
176.0,169.82954545454538,False
175.5,170.18803418803432,False
175.0,170.5485714285713,False
174.5,170.9083094555874,False
174.0,171.27011494252878,False
173.5,171.6311239193083,False
173.0,171.99421965317936,False
172.5,172.3594202898558,False
172.0,172.7267441860467,False
171.5,173.0903790087464,False
171.0,173.45614035087723,False
170.5,173.82111436950157,False
170.0,174.18823529411776,False
169.5,174.55457227138652,False
169.0,174.92307692307688,False
168.5,175.29376854599408,False
168.0,175.6666666666666,False
167.5,176.04179104477595,False
167.0,176.4191616766471,False
166.5,176.78978978978998,False
166.0,177.1626506024096,False
165.5,177.5317220543816,False
165.0,177.9030303030302,False
164.5,178.27355623100286,False
164.0,178.6463414634145,False
163.5,179.00917431192647,False
163.0,179.37423312883425,False
162.5,179.74153846153837,False
162.0,180.11111111111117,False
161.5,180.46749226006202,False
161.0,180.8260869565219,False
160.5,181.18691588785057,False
160.0,181.55000000000007,False
159.5,181.9122257053291,False
159.0,182.27672955974828,False
158.5,182.63091482649833,False
158.0,182.98101265822808,False
157.5,183.31746031746042,False
157.0,183.65605095541414,False
156.5,183.97124600638992,False
156.0,184.2884615384614,False
155.5,184.54983922829575,False
155.0,184.81935483870967,False
154.5,185.06472491909398,False
154.0,185.30519480519476,False
153.5,185.54397394136785,False
153.0,185.78431372548982,False
152.5,186.01967213114753,False
152.0,186.2631578947367,False
151.5,186.49504950495054,False
151.0,186.72847682119155,False
150.5,186.9534883720932,False
150.0,187.1799999999998,False
149.5,187.40133779264212,False
149.0,187.63087248322168,False
148.5,187.82828282828422,False
148.0,188.02702702702697,False
147.5,188.20677966101687,False
147.0,188.3945578231294,False
146.5,188.58361774744057,False
146.0,188.77397260273932,False
145.5,188.94158075601376,False
145.0,189.11034482758618,False
144.5,189.27335640138392,False
144.0,189.43750000000006,False
143.5,189.57839721254336,False
143.0,189.72727272727263,False
142.5,189.86315789473696,False
142.0,190.00000000000014,False
141.5,190.09540636042408,False
141.0,190.19148936170143,False
140.5,190.2669039145908,False
140.0,190.34999999999994,False
139.5,190.3620071684585,False
139.0,190.37410071942446,False
138.5,190.3646209386288,False
138.0,190.36231884057966,False
137.5,190.3418181818183,False
137.0,190.32116788321164,False
136.5,190.2710622710622,False
136.0,190.2279411764709,False
135.5,190.17343173431763,False
135.0,190.1185185185183,False
134.5,190.02973977695174,False
134.0,189.93283582089543,False
133.5,189.8014981273416,False
133.0,189.66917293233084,False
132.5,189.4679245283017,False
132.0,189.2803030303031,False
131.5,189.05703422053213,False
131.0,188.8396946564886,False
130.5,188.61302681992328,False
130.0,188.39230769230744,False
129.5,188.15057915057878,False
129.0,187.90697674418632,False
128.5,187.65758754863802,False
128.0,187.4140625,False
127.5,187.1137254901963,False
127.0,186.81102362204751,False
126.5,186.50592885375488,False
126.0,186.19841269841297,False
125.5,185.80876494023926,False
125.0,185.44,False
124.5,185.07228915662637,False
124.0,184.7096774193548,False
123.5,184.29554655870473,False
123.0,183.8780487804878,False
122.5,183.44081632653055,False
122.0,183.00000000000006,False
121.5,182.55144032921837,False
121.0,182.0991735537192,False
120.5,181.62655601659742,False
120.0,181.1499999999998,False
119.5,180.66945606694594,False
119.0,180.18487394957975,False
